nm,eV,C1_S20,C2_S71,C3_S146
452,2.7433629,1951.9639,-1388.7246,59.804993
453,2.7373068,2190.3767,-1286.2368,-100.26507
454,2.7312775,2042.3087,-1141.5649,-129.03026
455,2.7252748,1570.5984,-1193.3743,-79.823769
456,2.7192984,1179.8501,-1491.0701,-51.968048
457,2.7133479,1208.4449,-1844.9056,18.413448
458,2.7074237,1597.2607,-1972.7189,221.96198
459,2.701525,2005.5165,-1739.5076,358.6586
460,2.6956522,2111.3774,-1278.616,52.49585
461,2.6898048,1817.312,-830.52222,-718.19995
462,2.6839826,1349.6318,-521.59778,-1438.285
463,2.6781857,1151.4843,-360.26599,-1572.3468
464,2.6724138,1529.4338,-281.29218,-1128.9293
465,2.6666667,2377.6768,-93.947495,-515.81622
466,2.6609442,3267.9097,374.5155,23.845026
467,2.6552463,3763.5371,934.49573,479.63794
468,2.6495726,3681.0029,1074.964,674.12134
469,2.6439233,3172.5669,514.74902,310.54248
470,2.6382978,2567.0959,-468.3056,-507.42529
471,2.6326964,2088.0283,-1333.6265,-1230.9922
472,2.6271186,1783.91,-1717.3761,-1432.9446
473,2.6215644,1668.104,-1571.1069,-1155.929
474,2.6160338,1704.1694,-1088.2061,-717.65552
475,2.6105263,1691.6973,-576.95221,-399.32489
476,2.605042,1422.5243,-302.82196,-314.95255
477,2.5995808,968.52209,-345.18274,-409.12164
478,2.5941422,663.40601,-548.07117,-514.21997
479,2.5887265,792.97803,-631.81763,-453.23376
480,2.5833333,1334.7573,-444.83722,-164.42372
481,2.5779626,1945.172,-134.72115,205.08965
482,2.5726142,2219.2966,-7.6282501,372.51678
483,2.5672877,2044.9651,-214.04095,194.66275
484,2.5619836,1679.9246,-625.026,-140.70184
485,2.5567009,1458.3293,-984.73804,-278.7099
486,2.5514402,1490.0265,-1137.8774,-59.026665
487,2.5462012,1639.4742,-1146.6885,323.72681
488,2.5409837,1709.024,-1203.4878,526.59277
489,2.5357873,1628.8726,-1405.3345,374.14841
490,2.5306122,1496.2609,-1644.968,-58.932549
491,2.5254583,1434.2068,-1759.8038,-597.1098
492,2.5203252,1446.9585,-1730.285,-1101.2349
493,2.515213,1459.2238,-1654.4075,-1469.8135
494,2.5101213,1456.2341,-1601.2357,-1609.8694
495,2.5050504,1484.9066,-1610.769,-1492.0706
496,2.5,1522.578,-1720.3058,-1165.5425
497,2.4949698,1479.1851,-1816.051,-634.83289
498,2.48996,1377.644,-1623.3159,144.7216
499,2.4849699,1396.708,-1075.6199,1018.3217
500,2.48,1617.573,-537.5813,1530.2148
501,2.47505,1837.8425,-423.6662,1284.644
502,2.4701195,1829.0674,-718.73993,394.3699
503,2.4652088,1688.371,-1061.9711,-571.68896
504,2.4603174,1689.3336,-1162.7158,-1118.2759
505,2.4554455,1874.2079,-982.73199,-1207.1406
506,2.450593,2029.6072,-689.17163,-1106.9344
507,2.4457593,1975.5056,-576.23505,-1047.5841
508,2.4409449,1731.0642,-874.91138,-1115.0292
509,2.4361494,1486.7664,-1519.6128,-1271.1331
510,2.4313726,1451.8657,-2166.751,-1333.7854
511,2.4266145,1633.3125,-2471.4521,-1123.5326
512,2.421875,1789.7305,-2346.0427,-722.74255
513,2.4171541,1693.269,-1993.2583,-433.75183
514,2.4124513,1389.5212,-1693.9937,-449.65686
515,2.4077671,1133.0347,-1540.6647,-644.56104
516,2.4031007,1140.1306,-1378.307,-658.55011
517,2.3984525,1464.488,-991.44635,-208.68335
518,2.3938224,2013.2197,-330.50952,594.00732
519,2.38921,2588.6831,421.34286,1286.7969
520,2.3846154,3009.3662,990.67792,1498.9055
521,2.3800385,3291.9885,1239.3602,1307.4109
522,2.375479,3596.2002,1229.5426,1089.4777
523,2.3709369,3925.135,1078.2759,1060.605
524,2.3664122,4085.6697,849.22485,1091.6674
525,2.3619049,4003.6138,600.38428,1013.2992
526,2.3574145,3844.8425,423.99905,848.68628
527,2.3529413,3770.6614,374.71844,602.17932
528,2.3484848,3766.5291,391.3519,155.84805
529,2.3440454,3743.6665,366.52136,-407.69354
530,2.3396227,3641.3464,298.07224,-766.81177
531,2.3352165,3401.1963,246.52425,-862.72003
532,2.330827,3017.5317,144.92328,-999.63074
533,2.3264539,2660.5659,-137.36656,-1263.1898
534,2.3220973,2582.2871,-517.12701,-1323.4686
535,2.3177569,2856.251,-704.33032,-964.34839
536,2.3134329,3312.991,-537.01904,-390.65381
537,2.3091247,3689.1306,-179.11873,58.271049
538,2.3048327,3768.0854,22.268951,200.58423
539,2.3005567,3467.5627,-194.90002,-2.5529747
540,2.2962964,2859.7695,-835.14459,-556.28534
541,2.2920518,2134.6743,-1615.4325,-1397.3076
542,2.287823,1583.8622,-2114.1299,-2264.0869
543,2.2836096,1451.5668,-2128.3538,-2810.1963
544,2.2794118,1641.3422,-1906.1862,-2950.8931
545,2.2752295,1760.754,-1845.3678,-2871.0601
546,2.2710624,1559.0143,-2030.5674,-2638.4219
547,2.2669103,1137.2925,-2271.7295,-2149.821
548,2.2627738,749.0874,-2424.9751,-1499.3201
549,2.2586522,571.20422,-2425.252,-994.68726
550,2.2545455,649.28687,-2167.5217,-748.97168
551,2.2504537,988.97595,-1585.4312,-580.8302
552,2.2463768,1631.3018,-776.06421,-327.91226
553,2.2423146,2505.4355,26.963238,-46.828903
554,2.2382672,3284.439,548.62646,87.376572
555,2.2342343,3662.269,631.62604,31.392235
556,2.2302158,3714.0244,403.52545,10.19376
557,2.2262118,3686.2749,134.39511,252.72531
558,2.2222223,3545.6489,-126.8719,571.68231
559,2.2182469,3071.134,-537.5415,468.13239
560,2.2142856,2315.7095,-1060.8123,-249.85034
561,2.2103386,1644.406,-1408.686,-1192.4801
562,2.2064056,1280.5286,-1473.7943,-1836
563,2.2024868,1098.2041,-1501.7439,-2019.75
564,2.1985815,972.08844,-1691.6401,-1884.9553
565,2.1946902,1046.7173,-1892.4443,-1556.636
566,2.1908128,1456.3097,-1858.3625,-1099.835
567,2.1869488,1979.6965,-1589.4232,-670.64697
568,2.1830986,2204.1729,-1245.0515,-467.81311
569,2.1792619,1978.8096,-889.31049,-513.80249
570,2.1754386,1553.3378,-525.08044,-650.55426
571,2.1716287,1247.8604,-273.78922,-783.9198
572,2.1678321,1089.3567,-290.44617,-965.02783
573,2.1640489,877.94116,-517.92981,-1170.7939
574,2.1602788,572.60864,-710.36853,-1179.5889
575,2.1565218,410.99054,-712.72778,-817.11597
576,2.1527777,564.00757,-597.12024,-267.38495
577,2.1490469,883.73547,-534.37854,25.757523
578,2.1453288,1143.1299,-611.77747,-164.41556
579,2.1416235,1326.8708,-758.85791,-565.60864
580,2.1379311,1508.1051,-831.25348,-695.07751
581,2.1342514,1619.8296,-778.96716,-358.96643
582,2.1305842,1550.1163,-681.36206,233.04379
583,2.1269298,1336.0334,-610.8219,753.65961
584,2.1232877,1098.8339,-560.17554,992.93591
585,2.1196582,897.78265,-518.31506,873.89685
586,2.1160409,759.99268,-534.69989,436.08795
587,2.1124361,716.67096,-682.9657,-162.29254
588,2.1088436,728.45654,-963.09222,-702.12952
589,2.1052632,725.34778,-1254.8107,-1003.9916
590,2.1016948,733.93323,-1442.757,-1040.0985
591,2.0981388,803.16077,-1568.7174,-970.79376
592,2.0945945,885.81274,-1720.9152,-974.5766
593,2.0910623,963.78674,-1808.0627,-1036.0237
594,2.0875421,1132.6974,-1649.0356,-1011.9082
595,2.0840337,1402.6364,-1277.3885,-867.24371
596,2.0805368,1594.8746,-939.03558,-710.39246
597,2.0770519,1555.1108,-793.27588,-642.53943
598,2.0735786,1335.2195,-813.52832,-697.31226
599,2.0701168,1130.3722,-915.74841,-875.12305
600,2.0666666,1121.9871,-978.79535,-1113.9143
601,2.0632279,1362.6709,-843.53955,-1258.3074
602,2.0598006,1754.5447,-482.75293,-1174.0336
603,2.0563848,2123.1689,-92.959984,-889.48224
604,2.0529802,2341.783,90.438751,-546.07483
605,2.0495868,2443.6626,20.652699,-247.67822
606,2.0462046,2577.7993,-141.07138,-39.697407
607,2.0428336,2778.7773,-201.27194,32.173222
608,2.0394738,2853.6733,-145.87192,-55.765049
609,2.0361247,2586.6792,-167.79248,-261.61517
610,2.0327868,2002.7979,-422.07465,-503.28949
611,2.02946,1382.2305,-796.27844,-685.50891
612,2.0261438,1049.037,-1035.746,-707.07898
613,2.0228386,1136.4202,-1041.0499,-519.1084
614,2.0195439,1498.97,-903.07874,-199.58475
615,2.0162601,1838.6746,-723.64642,63.424149
616,2.0129869,1949.2097,-573.64056,97.736198
617,2.0097244,1882.0626,-551.61798,-111.90486
618,2.0064726,1876.4678,-712.66315,-413.08789
619,2.003231,2073.5068,-982.26038,-638.23938
620,2,2342.2725,-1223.3562,-727.30316
621,1.9967794,2496.1619,-1328.2205,-671.1756
622,1.9935691,2578.8403,-1233.1875,-442.19897
623,1.9903692,2765.9805,-939.60559,-84.208252
624,1.9871795,3082.5195,-537.02942,218.79633
625,1.984,3376.3198,-134.72069,302.38275
626,1.9808307,3507.4712,228.61832,208.36156
627,1.9776715,3454.6709,542.55121,92.148529
628,1.9745224,3276.3579,735.45593,-6.3452969
629,1.9713831,3062.2544,741.22522,-147.8602
630,1.968254,2898.0278,606.74213,-299.16095
631,1.9651347,2786.748,409.91125,-339.37976
632,1.9620253,2655.8914,162.74167,-233.62003
633,1.9589257,2511.9819,-80.868851,-66.8993
634,1.9558359,2464.7761,-166.98114,39.153446
635,1.9527559,2542.3137,-24.380005,-1.481163
636,1.9496856,2641.4028,218.17297,-149.9675
637,1.9466248,2690.1982,376.69064,-246.02843
638,1.9435737,2713.8354,385.02435,-196.27406
639,1.9405321,2725.9036,294.12061,-104.89185
640,1.9375,2650.7324,142.84795,-171.43364
641,1.9344773,2388.436,-138.80966,-517.02374
642,1.9314642,1956.636,-638.50647,-1089.2839
643,1.9284604,1541.1187,-1259.0442,-1665.1255
644,1.9254658,1371.6111,-1696.3499,-1957.8855
645,1.9224806,1559.2004,-1673.889,-1772.2975
646,1.9195046,2014.4565,-1191.3468,-1132.1313
647,1.9165379,2463.9629,-547.33551,-324.41699
648,1.9135803,2650.085,-101.23095,245.70386
649,1.9106318,2586.3396,-10.950733,340.54605
650,1.9076923,2489.5684,-220.7034,30.422611
651,1.9047619,2465.5688,-598.60156,-427.08643
652,1.9018404,2436.1543,-984.69293,-784.69434
653,1.898928,2334.6094,-1213.2448,-926.59998
654,1.8960245,2195.4438,-1201.4805,-896.05731
655,1.8931298,2082.3755,-983.90417,-825.80304
656,1.8902439,2056.3179,-661.04468,-814.3421
657,1.8873668,2189.7554,-357.54694,-865.10455
658,1.8844985,2506.9717,-183.63544,-929.9801
659,1.8816389,2892.2854,-182.18303,-974.47632
660,1.8787879,3135.7283,-313.93646,-998.31763
661,1.8759456,3128.7666,-473.06549,-1006.7343
662,1.8731117,2973.5103,-520.68109,-965.20032
663,1.8702866,2850.8701,-388.22864,-823.32788
664,1.8674699,2836.5669,-174.30676,-609.61127
665,1.8646617,2894.9458,-65.190773,-437.78503
666,1.8618618,2977.0391,-140.74968,-375.3533
667,1.8590704,3049.5229,-302.80176,-360.96552
668,1.8562875,3081.8542,-383.91656,-294.03284
669,1.8535128,3076.897,-302.66721,-179.40488
670,1.8507463,3078.4067,-143.76062,-149.69919
671,1.8479881,3105.9194,-89.651871,-322.84265
672,1.8452381,3133.8438,-227.3782,-638.36511
673,1.8424963,3156.8472,-435.3306,-884.15796
674,1.8397626,3197.0547,-512.6629,-907.9798
675,1.8370371,3231.196,-397.43396,-742.30206
676,1.8343195,3201.6045,-206.87482,-505.59271
677,1.8316101,3106.5073,-99.19101,-278.25839
678,1.8289086,2995.4822,-161.11926,-122.18454
679,1.826215,2890.4434,-396.97827,-124.35616
680,1.8235294,2790.1306,-733.71173,-326.10394
681,1.8208517,2724.8271,-1027.6732,-641.37238
682,1.8181819,2740.5605,-1136.3496,-905.44385
683,1.8155198,2853.6458,-1014.5993,-982.315
684,1.8128655,3043.7583,-737.45923,-820.43707
685,1.8102189,3250.0786,-443.34354,-489.35614
686,1.8075802,3378.9043,-252.67844,-186.00107
687,1.804949,3371.2947,-209.91553,-113.72118
688,1.8023256,3259.2844,-273.64548,-303.97437
689,1.7997097,3122.8679,-350.61261,-586.37683
690,1.7971015,3011.2705,-372.45135,-753.2865
691,1.7945007,2919.1538,-377.64297,-746.4881
692,1.7919075,2816.9856,-476.02872,-675.56067
693,1.7893218,2713.6323,-682.46167,-666.29834
694,1.7867435,2692.6104,-846.72815,-729.86584
695,1.7841727,2832.3901,-820.05743,-784.75592
696,1.7816092,3081.856,-637.30188,-750.36414
697,1.7790531,3290.0293,-454.35712,-595.62573
698,1.7765043,3376.7278,-348.2912,-350.66867
699,1.7739629,3392.8301,-273.62912,-110.37765
700,1.7714286,3396.0156,-191.51637,11.397594
701,1.7689016,3364.7998,-133.69128,-25.285671
702,1.7663817,3265.0042,-131.82378,-156.95486
703,1.7638692,3117.3396,-166.67206,-295.89444
704,1.7613636,2979.0986,-202.06445,-403.73016
705,1.7588652,2910.7988,-231.38361,-485.7735
706,1.7563739,2936.3979,-291.80505,-574.66406
707,1.7538897,2994.7192,-431.47528,-721.88818
708,1.7514124,2986.97,-633.64868,-930.06738
709,1.7489421,2904.3345,-791.64783,-1093.0554
710,1.7464789,2838.7266,-808.60095,-1083.0161
711,1.7440225,2857.4465,-704.78894,-895.80383
712,1.741573,2939.7195,-586.51312,-649.86499
713,1.7391304,3025.4585,-538.1366,-462.34882
714,1.7366947,3065.1211,-565.31805,-373.26562
715,1.7342657,3045.1726,-597.32434,-361.23224
716,1.7318436,3008.3325,-531.37189,-380.91931
717,1.7294282,3031.0034,-318.61862,-379.00977
718,1.7270195,3156.0664,-19.53546,-306.996
719,1.7246175,3344.8779,242.63684,-155.73245
720,1.7222222,3496.1216,375.03528,19.319843
721,1.7198336,3524.2686,352.7146,129.33102
722,1.7174516,3428.1846,196.20636,114.17164
723,1.7150761,3277.0063,-47.02586,-26.264534
724,1.7127072,3147.9551,-300.17383,-231.41963
725,1.7103448,3097.1982,-471.78165,-394.97729
726,1.707989,3143.5293,-503.06873,-434.22412
727,1.7056396,3237.0522,-401.0741,-375.42453
728,1.7032967,3292.4756,-214.99603,-312.48029
729,1.7009603,3285.3052,4.5479174,-279.51022
730,1.6986301,3258.6343,209.98196,-250.81567
731,1.6963065,3233.812,352.32269,-236.02811
732,1.693989,3192.5835,404.8855,-260.28326
733,1.691678,3135.7231,379.11328,-292.83307
734,1.6893733,3087.7324,294.9136,-307.54883
735,1.6870748,3062.8081,150.69754,-359.40381
736,1.6847826,3065.4629,-41.239307,-487.78616
737,1.6824967,3095.0105,-200.30185,-593.32355
738,1.6802168,3136.541,-226.57721,-533.29858
739,1.6779431,3177.7151,-126.15562,-323.00363
740,1.6756756,3232.4958,-19.53207,-134.64233
741,1.6734143,3323.3586,7.6070924,-87.576385
742,1.671159,3443.8662,1.3025141,-123.65225
743,1.6689098,3554.6035,54.648247,-118.75497
744,1.6666666,3621.0081,173.27252,-49.995461
745,1.6644295,3656.3911,266.1485,11.018393
746,1.6621984,3716.301,260.75751,30.378252
747,1.6599733,3831.8167,189.75394,50.720177
748,1.6577541,3953.124,139.43646,108.85368
749,1.6555407,3974.3716,138.67795,187.36661
750,1.6533333,3810.8267,136.13651,234.44623
751,1.6511319,3459.106,72.712479,182.06216
752,1.6489362,3025.4077,-54.855507,-9.1528416
753,1.6467464,2710.4429,-186.58205,-267.02731
754,1.6445624,2693.3652,-231.25183,-422.0592
755,1.6423841,2950.4307,-143.66258,-371.11682
756,1.6402116,3227.3999,-1.6498775,-199.82732
757,1.638045,3284.5928,57.027267,-82.113976
758,1.6358839,3153.7939,9.1912613,-78.531624
759,1.6337286,3073.2656,-33.851547,-113.4353
760,1.6315789,3179.8582,-16.014416,-142.03357
761,1.6294349,3345.0989,-35.86993,-226.72702
762,1.6272966,3352.3364,-203.24054,-407.69684
763,1.6251638,3189.0325,-478.79303,-582.052
764,1.6230366,3067.2163,-712.01147,-583.73816
765,1.6209151,3141.7852,-792.01062,-377.69891
766,1.618799,3325.8628,-713.8064,-132.49062
767,1.6166884,3426.3118,-533.39673,-66.145096
768,1.6145834,3352.1543,-319.46649,-228.37299
769,1.6124837,3151.1396,-140.40724,-469.83981
770,1.6103896,2930.1943,-45.375736,-616.40814
771,1.6083009,2787.4111,-28.83445,-620.74036
772,1.6062176,2784.1211,-26.577831,-547.18127
773,1.6041397,2924.9849,14.302889,-479.44116
774,1.6020672,3141.6431,61.168839,-459.91229
775,1.6,3329.3955,42.148289,-466.06516
776,1.5979382,3427.1558,-38.92527,-437.1467
777,1.5958816,3445.6353,-108.68338,-357.97775
778,1.5938303,3419.7251,-149.17276,-300.1842
779,1.5917844,3364.0142,-227.67464,-345.336
780,1.5897436,3286.1172,-366.78305,-486.48688
781,1.5877081,3227.5161,-460.14322,-625.91992
782,1.5856777,3249.9316,-388.2746,-654.16138
783,1.5836526,3349.2676,-182.97397,-539.37097
784,1.5816326,3421.7065,4.1816711,-355.73856
785,1.5796179,3368.46,84.153076,-210.88855
786,1.5776081,3209.0525,94.322433,-153.8252
787,1.5756036,3051.3516,89.473587,-167.27696
788,1.5736041,2979.905,75.839279,-214.71906
789,1.5716096,3003.9124,66.129204,-275.28656
790,1.5696203,3071.564,96.375244,-353.51855
791,1.5676359,3097.0503,158.03772,-452.89999
792,1.5656565,3018.0903,190.62698,-537.64709
793,1.5636822,2869.145,161.74501,-545.91443
794,1.5617129,2762.9639,97.472862,-441.77289
795,1.5597484,2777.4263,31.779547,-240.4924
796,1.557789,2896.207,-30.12043,0.62503242
797,1.5558344,3052.4778,-107.87831,199.12445
798,1.5538847,3171.5322,-231.17282,272.07251
799,1.55194,3189.1658,-403.41245,179.05679
800,1.55,3102.9785,-565.44476,-38.22221
801,1.5480649,2987.4568,-630.84338,-274.04346
802,1.5461347,2904.5381,-574.42029,-448.00613
803,1.5442092,2843.7339,-472.17157,-573.72424
804,1.5422885,2780.8762,-451.41327,-708.44031
805,1.5403727,2722.5879,-581.84308,-854.09155
806,1.5384616,2672.3044,-786.66663,-956.85126
807,1.5365552,2627.0176,-889.30786,-975.10205
808,1.5346534,2619.4082,-781.71381,-904.18488
809,1.5327564,2699.4155,-523.0376,-783.01947
810,1.5308642,2864.3428,-267.94955,-697.86255
811,1.5289766,3052.1523,-133.70898,-711.18787
812,1.5270936,3201.3672,-134.3036,-786.8241
813,1.5252153,3278.1001,-211.83473,-848.73364
814,1.5233415,3259.8604,-306.98248,-881.10529
815,1.5214723,3153.2678,-369.13681,-906.2655
816,1.5196079,3036.8101,-321.02258,-906.58923
817,1.5177479,3020.3547,-112.34152,-828.82971
818,1.5158924,3128.1526,173.61075,-640.89197
819,1.5140415,3281.4434,378.26569,-360.1106
820,1.5121951,3413.0049,455.60071,-59.188538
821,1.5103532,3513.6021,479.00055,143.42926
822,1.5085158,3564.2095,455.88672,142.38318
823,1.5066829,3527.4814,303.44705,-60.653183
824,1.5048543,3422.3198,43.510685,-323.49493
825,1.5030303,3343.2744,-143.8855,-474.20947
826,1.5012107,3394.6057,-115.52707,-470.23633
827,1.4993954,3612.3125,104.21326,-383.80124
828,1.4975846,3924.0842,394.54608,-242.62158
829,1.4957781,4179.4482,628.04724,-17.926096
830,1.4939759,4256.2695,714.43799,230.80084
831,1.4921781,4165.291,664.48065,367.10797
832,1.4903846,4041.2205,583.27551,357.49005
833,1.4885955,4004.1667,527.65027,299.19348
834,1.4868106,4021.9531,427.71329,257.70715
835,1.4850299,3951.75,228.7095,210.10193
836,1.4832536,3741.8162,45.607452,167.15512
837,1.4814814,3512.1362,53.554424,209.04227
838,1.4797136,3378.936,239.14763,337.83514
839,1.47795,3306.5667,394.26105,418.77289
840,1.4761904,3227.0674,387.8576,352.23206
841,1.4744352,3196.7354,318.61041,202.10501
842,1.4726841,3304.197,343.70197,81.022629
843,1.4709371,3494.9907,469.01508,10.845821
844,1.4691943,3612.3994,571.45935,-32.800442
845,1.4674556,3578.821,545.44446,-31.100458
846,1.465721,3457.1709,388.27539,47.03849
847,1.4639906,3365.0703,200.27112,176.5896
848,1.4622642,3373.0649,107.58031,293.50647
849,1.4605418,3457.5188,144.47375,370.55859
850,1.4588236,3533.8828,222.7946,448.68362
851,1.4571093,3545.8704,229.65443,562.29749
852,1.455399,3511.4387,128.32997,645.70868
853,1.4536928,3483.8042,-29.673409,592.75354
854,1.4519906,3497.0239,-147.63177,424.5235
