nm,eV,C1_S20,C2_S71,C3_S146
300,4.1333332,63728.633,76948.164,
301,4.1196012,63931.766,75628.898,
302,4.1059604,64447.148,74531.57,
303,4.0924091,65121.043,77625.438,
304,4.0789475,65893.891,82912.422,
305,4.0655737,66601.336,83599.422,
306,4.0522876,66506.578,76300.102,
307,4.0390878,64499.242,64617.883,
308,4.0259738,60566.258,54297.402,
309,4.0129452,56869.098,48376.883,
310,4,56186.938,47021.258,
311,3.9871383,58782.5,48379.414,150306.2
312,3.974359,61466.117,49360.152,146007.92
313,3.9616613,60502.922,47915.145,140440.48
314,3.9490447,55171.973,44588.047,133138.27
315,3.9365079,47812.086,41095.605,127136.97
316,3.9240506,41061.559,38287.977,125257.7
317,3.9116719,36154.52,36011.305,126876.16
318,3.8993711,33150.742,33864.238,129210.44
319,3.8871474,31390.67,31397.934,130459.36
320,3.875,29892.9,28305.971,130478.38
321,3.8629284,28125.145,24890.473,129165.37
322,3.8509316,26315.402,21880.875,125944.33
323,3.8390093,24881.039,19669.43,121176.5
324,3.8271606,24054.189,18098.73,116779.52
325,3.8153846,24038.752,16932.648,114470.69
326,3.8036809,24780.018,16095.767,113807.87
327,3.7920489,25544.617,15411.284,112818.61
328,3.7804878,25412.17,14570.084,110409.33
329,3.768997,24246.543,13589.561,107377.23
330,3.7575758,22702.838,12901.135,105147.68
331,3.7462234,21318.578,12711.412,104236.26
332,3.7349398,20080.766,12669.914,104074.27
333,3.7237236,18842.641,12387.118,103860.69
334,3.712575,17629.941,11820.727,103151.3
335,3.7014925,16499.789,10956.391,101695.92
336,3.6904762,15515.777,9590.9023,99296.102
337,3.6795251,14818.588,7710.1855,96177.703
338,3.6686389,14397.959,5826.999,93123.586
339,3.6578171,13937.781,4658.6187,90809.094
340,3.6470587,13170.476,4414.3169,89089.156
341,3.6363637,12249.838,4565.2866,87107.312
342,3.625731,11556.908,4445.0913,84122.32
343,3.6151605,11235.001,3895.9607,80267.547
344,3.6046512,11098.289,3219.2888,76475.562
345,3.594203,10957.236,2773.3523,73628.617
346,3.5838151,10820.281,2737.4731,71823.203
347,3.573487,10693.58,2986.312,70332.938
348,3.5632184,10400.02,3117.6794,68190.703
349,3.5530086,9809.8691,2825.5908,65011.621
350,3.5428572,9115.4248,2227.7512,61314.836
351,3.5327635,8635.877,1668.0901,57887.508
352,3.5227273,8414.4648,1324.8458,54981.422
353,3.5127478,8225.374,1155.198,52348.336
354,3.5028248,7933.083,1038.6237,49779.562
355,3.4929578,7625.8936,827.25183,47301.258
356,3.483146,7414.3057,448.207,45044.484
357,3.4733894,7270.5781,69.248291,43064.555
358,3.4636872,7053.585,-43.083416,41127.973
359,3.4540391,6652.7017,125.83445,38843.289
360,3.4444444,6164.082,343.69058,36205.078
361,3.4349031,5819.5811,433.13828,33648.652
362,3.4254143,5655.209,360.89737,31393.098
363,3.415978,5445.7896,146.30737,29169.301
364,3.4065933,5032.1553,-144.53149,26721.574
365,3.3972602,4495.1143,-408.7204,24170.195
366,3.3879781,3998.0774,-595.59314,21764.004
367,3.3787465,3676.1089,-736.28674,19596.184
368,3.3695652,3649.1506,-860.62061,17714.27
369,3.3604336,3908.8596,-920.211,16248.705
370,3.3513513,4195.1797,-848.01489,15186.442
371,3.3423181,4203.4844,-671.84607,14190.806
372,3.3333333,3941.5959,-491.67422,12925.166
373,3.3243968,3707.9688,-385.54861,11469.598
374,3.3155081,3712.8337,-395.36432,10198.427
375,3.3066666,3887.4839,-524.51135,9302.498
376,3.2978723,4052.2551,-703.27246,8619.3447
377,3.2891247,4105.5752,-810.755,7927.8965
378,3.2804232,4040.5688,-757.36896,7219.2031
379,3.2717679,3894.0674,-550.27734,6591.9175
380,3.2631578,3710.519,-283.44202,6040.4043
381,3.2545931,3515.384,-61.551491,5470.8628
382,3.2460732,3314.5068,59.197472,4832.1875
383,3.2375979,3127.7983,70.236763,4154.2817
384,3.2291667,2990.4778,-22.265574,3510.6282
385,3.2207792,2884.9663,-218.91637,2962.5332
386,3.2124352,2711.4626,-488.16504,2511.4321
387,3.2041345,2393.3291,-710.91895,2118.2258
388,3.1958764,2007.5325,-745.3222,1779.1451
389,3.1876607,1756.0804,-577.23755,1549.5004
390,3.1794872,1785.8433,-340.6369,1480.9728
391,3.1713555,2059.3376,-169.98102,1555.5864
392,3.1632652,2410.9556,-82.847336,1681.5505
393,3.1552162,2690.6057,-14.714663,1752.0349
394,3.1472082,2827.0664,65.594421,1708.8562
395,3.1392405,2804.4062,100.1496,1536.4211
396,3.1313131,2655.4124,17.011021,1237.4862
397,3.1234257,2478.9927,-155.32452,875.53864
398,3.1155779,2399.998,-277.86209,589.64056
399,3.1077695,2481.0229,-201.22067,501.25476
400,3.0999999,2669.9082,98.910294,622.03821
401,3.0922694,2815.8125,441.94528,848.64856
402,3.0845771,2777.6926,561.83716,1042.7014
403,3.0769231,2580.4541,380.25085,1148.8489
404,3.0693069,2406.3491,91.040024,1194.2415
405,3.0617285,2383.9114,-69.060135,1160.5745
406,3.0541873,2477.2036,-43.096088,996.63739
407,3.0466831,2583.9922,59.146873,773.84857
408,3.0392158,2615.7964,93.731316,641.91211
409,3.0317848,2517.1714,-5.6115227,614.13715
410,3.0243902,2331.7234,-187.83594,564.55359
411,3.0170317,2191.5178,-353.51553,429.00134
412,3.0097086,2160.2168,-458.20929,276.73291
413,3.0024214,2174.4634,-510.52545,197.95358
414,2.9951692,2180.2803,-492.94061,209.26817
415,2.9879518,2209.175,-365.29614,265.41351
416,2.9807692,2280.7581,-161.61334,310.42084
417,2.9736211,2341.0259,-6.2798862,314.28586
418,2.9665072,2342.0642,10.345045,294.94315
419,2.9594271,2302.5464,-76.267021,299.74185
420,2.9523809,2256.2161,-161.84814,338.35651
421,2.9453683,2203.4954,-178.21965,356.07587
422,2.9383886,2135.532,-140.29651,297.53351
423,2.931442,2059.8887,-125.40987,174.75259
424,2.9245284,1994.3647,-186.586,61.537075
425,2.9176471,1956.3384,-272.30942,31.095951
426,2.9107981,1945.1946,-282.92334,91.067902
427,2.9039812,1931.6089,-207.94806,172.43314
428,2.8971963,1884.3313,-141.14291,190.73039
429,2.8904428,1798.3193,-168.32845,120.49875
430,2.8837209,1686.5959,-296.96115,6.5881667
431,2.8770301,1573.2664,-471.41736,-91.764816
432,2.8703704,1500.627,-619.26514,-157.62985
433,2.8637414,1497.2516,-711.77289,-216.70032
434,2.8571429,1526.5505,-788.98944,-292.1926
435,2.8505747,1524.886,-885.92487,-369.41013
436,2.8440366,1506.7839,-937.82019,-408.70056
437,2.8375287,1553.4198,-826.00696,-391.97089
438,2.8310502,1673.146,-544.9303,-344.40393
439,2.8246014,1768.1162,-258.83563,-305.37057
440,2.8181818,1769.0371,-149.53038,-296.40363
441,2.8117914,1716.5305,-248.10971,-319.63013
442,2.8054299,1694.067,-427.40283,-361.29202
443,2.7990971,1750.7097,-517.47784,-397.76129
444,2.7927928,1882.014,-434.15363,-416.82538
445,2.7865169,2026.2212,-233.94562,-422.93756
446,2.7802691,2084.8645,-55.198822,-412.05743
447,2.7740493,1985.4343,-13.642023,-351.27325
448,2.7678571,1745.1848,-156.54871,-198.53775
449,2.7616928,1492.178,-473.06085,29.571507
450,2.7555556,1408.0023,-889.30737,213.86308
451,2.7494457,1594.2639,-1250.6743,220.38327
