id,2016.1 (NREL),2016.1 (NIST),2016.2 (NREL),2016.2 (NIST),2016.3 (NREL),2016.3 (NIST)
1,34.2,34.1,33.3,0,0,0
2,34.3,34,33.3,0,0,0
3,34.2,34.1,33.2,0,0,0
4,34.2,34,33.1,33,0,0
5,34.1,34,33,32.9,0,0
6,34.2,34,32.9,32.8,0,0
7,34.1,34,32.9,32.7,0,0
8,34.1,34,33,32.7,0,0
9,34.1,34,0,0,0,0
10,34.2,34,0,0,34.3,34.2
11,34,33.9,0,0,34.1,34.1
12,34.2,34.1,33.4,33.3,0,0
13,34.2,34,33.4,33.3,0,0
14,34.2,34,33.3,33.1,0,0
15,34.2,33.9,33.1,33,0,0
16,34.1,34,33.1,32.9,0,0
17,34.1,34,33,32.7,0,0
18,34.1,33.9,33,32.6,0,0
19,34.1,33.9,33.1,32.9,0,0
20,34.1,33.9,0,0,0,0
21,34.2,33.9,0,0,34.2,34
22,34,33.9,0,0,34.2,34
23,34.1,34.1,33.5,33.3,0,34.1
24,34.2,34,33.4,33.2,0,0
25,34.2,34,33.3,33.1,0,0
26,34.1,33.9,33.1,32.9,0,0
27,34.2,33.9,33.1,32.7,0,0
28,34.2,33.9,33,32.6,0,0
29,34.2,33.9,32.9,32.5,0,0
30,34.1,34,32.9,32.7,0,0
31,34.2,33.9,0,0,0,0
32,34,33.9,0,0,34.2,34.1
33,34,34,0,0,34.3,34.1
34,34.3,34.1,33.5,33.2,0,0
35,34.3,34.1,33.4,33.1,0,0
36,34.3,34,33.3,32.9,0,0
37,34.2,33.9,33.2,32.8,0,0
38,34.2,33.9,33.1,32.7,0,0
39,34.1,33.9,33,32.6,0,0
40,34.1,34,33,32.6,0,0
41,34.2,34,0,0,0,0
42,34,34,0,0,0,0
43,34.1,33.9,0,0,0,0
44,34,34,0,0,0,0
