Ti,Zn,Sn,Cluster
3.8322,14.851,81.317,2
4.2209,14.604,81.176,2
5.4707,13.403,81.126,2
6.04,14.063,79.897,2
5.3939,15.137,79.469,2
6.5868,14.654,78.759,2
3.655,17.795,78.55,5
6.0262,15.622,78.352,2
3.2755,18.824,77.901,2
4.518,17.961,77.521,5
5.1443,18.039,76.817,5
6.9581,16.577,76.465,2
7.9433,15.613,76.443,2
6.3288,18.627,75.044,5
9.3785,16.075,74.547,2
8.438,17.19,74.372,2
7.3068,19.328,73.366,5
4.1604,22.863,72.977,5
4.6254,22.488,72.887,5
9.6589,18.16,72.181,2
3.5157,24.496,71.988,2
5.4995,22.773,71.728,5
3.1518,25.604,71.245,2
8.7794,20.303,70.918,5
6.6286,23.291,70.08,5
7.483,23.14,69.377,5
10.032,21.06,68.907,5
11.62,19.533,68.847,2
9.1157,23.524,67.361,5
5.8976,27.955,66.147,5
6.7079,27.457,65.835,5
5.0557,29.252,65.692,5
12.151,22.32,65.529,5
13.077,21.648,65.275,2
3.462,31.269,65.269,5
4.1378,30.867,64.995,5
10.846,24.356,64.798,5
7.8787,27.855,64.266,5
3.1564,33.52,63.324,2
9.8652,27.089,63.046,5
14.095,24.561,61.344,2
12.788,26.042,61.171,5
11.251,28.078,60.671,5
7.0583,32.276,60.665,5
8.5529,31.363,60.084,5
6.1241,34.391,59.485,5
10.522,31.436,58.042,5
5.1885,37.166,57.645,5
15.735,27.422,56.844,2
15.274,27.97,56.756,2
4.1474,39.117,56.736,5
13.755,29.713,56.532,5
3.7358,40.671,55.593,2
6.5343,38.148,55.318,6
12.234,32.88,54.886,5
8.7312,36.611,54.657,6
7.35,38.367,54.283,6
3.4877,42.458,54.055,2
3.0949,43.696,53.209,2
6.2888,40.703,53.008,6
10.731,36.391,52.878,6
17.282,30.881,51.837,2
15.997,32.305,51.698,2
14.329,34.538,51.133,2
5.2605,43.759,50.98,6
12.934,37.239,49.828,2
6.6825,44.512,48.805,4
4.7756,46.529,48.695,6
9.3406,42.361,48.298,6
7.7222,44.33,47.948,6
18.359,34.109,47.532,2
4.4161,48.069,47.515,4
11.317,41.242,47.441,6
19.725,32.892,47.383,2
3.9539,48.783,47.263,2
17.122,35.98,46.898,2
6.6204,46.903,46.476,6
8.6017,44.954,46.444,4
11.005,42.795,46.199,4
3.3061,50.528,46.166,4
13.922,40.092,45.986,2
15.357,38.739,45.904,2
13.508,40.946,45.546,2
3.7364,50.895,45.368,2
8.2515,46.385,45.363,4
16.118,38.59,45.292,2
3.4998,51.473,45.027,2
5.5401,50.343,44.117,4
4.382,51.716,43.902,4
21.652,34.719,43.629,2
4.1784,52.222,43.6,3
20.027,36.38,43.593,2
6.0423,50.629,43.328,3
18.263,38.828,42.909,2
16.345,41.291,42.363,2
9.6619,48.178,42.16,6
4.557,53.384,42.059,4
11.688,46.68,41.632,6
4.3512,54.767,40.882,4
13.794,45.407,40.799,2
23.445,36.073,40.482,2
3.9191,55.926,40.155,4
21.478,38.501,40.021,2
19.429,40.911,39.661,2
26.072,35.109,38.819,2
16.865,44.341,38.794,2
3.6722,57.599,38.728,4
5.2643,56.742,37.993,3
22.956,39.473,37.571,2
25.523,37.09,37.387,2
3.7292,59.035,37.236,3
2.8542,60.201,36.945,3
20.392,42.829,36.779,2
27.788,36.324,35.889,2
4.9575,59.211,35.831,3
26.368,38.096,35.535,2
24.389,40.896,34.715,2
21.095,44.234,34.671,2
28.448,37.144,34.408,2
14.875,51.421,33.703,4
26.852,39.539,33.609,2
28.749,37.77,33.481,2
25.092,41.862,33.046,2
21.356,45.609,33.034,2
17.691,49.322,32.987,4
3.8909,63.279,32.83,4
3.5547,63.895,32.551,4
28.113,39.579,32.307,2
24.995,43.106,31.899,2
12.611,55.554,31.835,4
10.273,58.463,31.264,3
18.189,50.608,31.203,4
21.855,47.096,31.048,4
27.904,41.305,30.79,2
29.657,39.6,30.743,2
25.51,43.965,30.526,2
14.898,54.949,30.152,4
22.118,48.174,29.708,4
28.062,42.44,29.498,2
18.126,52.443,29.431,4
25.639,45.115,29.246,2
22.003,49.004,28.992,4
8.2733,62.81,28.917,3
12.433,58.927,28.64,3
18.586,54.132,27.282,4
15.213,57.756,27.031,3
6.7971,66.551,26.652,3
10.09,64.065,25.845,3
5.6257,69.16,25.215,3
11.983,62.979,25.038,3
14.786,60.377,24.837,3
4.693,71.552,23.755,1
7.9972,68.281,23.721,1
14.2,63.059,22.741,1
4.3093,73.161,22.53,1
3.5968,73.974,22.43,1
9.7326,67.934,22.333,1
6.4628,71.74,21.797,1
11.769,67.035,21.196,1
5.4255,73.87,20.704,1
4.1219,76.16,19.718,1
7.6824,72.645,19.672,1
4.4327,75.912,19.655,1
10.55,70.342,19.108,1
3.4331,77.468,19.099,1
9.0995,72.36,18.541,1
6.4167,75.276,18.307,1
5.2069,77.48,17.313,1
4.7851,78.123,17.092,1
7.5192,75.845,16.636,1
4.2306,79.171,16.598,1
8.6794,74.741,16.58,1
6.3296,77.961,15.71,1
5.2741,79.451,15.275,1
7.2221,77.576,15.202,1
4.4463,80.414,15.14,1
6.2112,79.141,14.647,1
