id,2015.1 (NREL),2015.1 (NIST)
1,32.8,32.7
2,32.9,32.8
3,32.8,32.8
4,32.9,32.8
5,33,32.8
6,36.5,36.4
7,36.3,36.2
8,0,0
9,32.8,32.7
10,32.8,32.7
11,32.9,32.8
12,32.9,32.8
13,33,32.9
14,33,32.9
15,36.6,36.5
16,36.5,36.4
17,36.3,36.2
18,0,36.1
19,33,32.6
20,32.8,32.7
21,32.8,32.7
22,32.9,32.7
23,32.9,32.8
24,33,32.8
25,32.9,32.8
26,36.9,36.8
27,36.6,36.7
28,36.5,36.5
29,36.4,36.3
30,36.2,36.1
31,36.2,36.1
32,33.1,32.6
33,32.9,32.7
34,32.8,32.7
35,32.8,32.7
36,32.8,32.7
37,32.8,32.7
38,0,32.7
39,36.9,36.8
40,36.8,36.7
41,36.6,36.5
42,36.5,36.4
43,36.4,36.2
44,36.1,36.2
45,36.1,36.1
46,36,36
47,36,35.9
48,0,0
49,32.8,32.6
50,33,32.8
51,32.9,32.7
52,37,36.9
53,37,36.9
54,36.9,36.8
55,36.6,36.6
56,36.5,36.4
57,36.3,36.3
58,36.3,36.2
59,36.2,36.1
60,36.3,36.1
61,36.1,36
62,36.1,36
63,36.1,36
64,36.1,36
65,36,36
66,0,36
67,37.1,37
68,37,36.9
69,36.9,36.9
70,36.8,36.7
71,36.6,36.6
72,0,0
73,0,0
74,0,0
75,0,36
76,36.2,36.1
77,36.1,36.1
78,36.1,36.1
79,36.1,36.1
80,36.1,36.1
81,0,36.1
82,37.1,37
83,37,37
84,36.9,36.9
85,36.9,36.8
86,36.9,36.7
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,36.3,36.1
94,36.3,36.1
95,36.3,36.2
96,0,36.2
97,37.1,37.1
98,37.2,37
99,37.1,37
100,37,36.9
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,36.8,36.5
110,36.7,36.5
111,0,36.5
112,37.3,37.2
113,37.2,37.2
114,37.3,37.1
115,37.3,37.2
116,0,0
117,34.5,34.4
118,34.5,34.4
119,34.4,34.3
120,34.4,34.3
121,34.4,34.3
122,37.3,37.1
123,37.1,37.1
124,37.1,37
125,37.1,37
126,0,37
127,37.3,37.2
128,37.5,37.3
129,37.6,37.4
130,37.6,37.5
131,34.5,34.3
132,34.5,34.3
133,34.4,34.2
134,34.3,34.2
135,34.3,34.2
136,34.2,34.2
137,37.3,37.2
138,37.3,37.2
139,37.3,37.2
140,37.5,37.4
141,37.6,37.5
142,37.8,37.6
143,37.6,37.6
144,37.6,37.5
145,34.5,34.3
146,34.3,34.2
147,34.3,34.2
148,34.3,34.2
149,37.6,37.6
150,37.6,37.5
151,0,37.5
152,0,0
153,37.8,37.6
154,37.7,37.7
155,37.8,37.7
156,37.8,37.7
157,37.8,37.7
158,37.8,37.7
159,37.9,37.8
160,37.9,37.8
161,37.9,37.8
162,38,37.8
163,37.9,37.8
164,38.1,37.9
165,38,37.9
166,38,37.9
167,38.1,37.9
168,38,38
169,38.1,37.9
170,38.1,38
171,38.1,37.9
172,37.9,38
173,38.2,38.1
174,38.2,38.1
175,38.2,38.1
176,38.2,38.1
177,38.2,38.1
